,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
53,0.8176252365112304,0.011062911234767813,0.007200384140014648,0.00039939923067807873,0.01,0.1,9,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9169284047911987,0.7376403228165331,0.8331839084346946,0.9311292773544518,0.8227762160204878,0.8483316258834732,0.07027953622137159,1,-127.20195443293214,-136.66264108138,-309.62476734975075,-141.55472499754822,-93.46569186417697,-161.70195594515764,75.84256611905404,1
52,0.5716499328613281,0.006130326962728162,0.00700221061706543,1.3537473265245808e-06,0.01,0.1,9,340,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 340}",0.9169284047911987,0.7376403228165331,0.8331839084346946,0.9311292773544518,0.8227762160204878,0.8483316258834732,0.07027953622137159,1,-127.20195443293214,-136.66264108138,-309.62476734975075,-141.55472499754822,-93.46569186417697,-161.70195594515764,75.84256611905404,1
125,0.888356351852417,0.11589516114600683,0.007203054428100586,0.00039997126411462557,0.1,0.1,9,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9169268673788197,0.7379181533991417,0.833025592497094,0.9311087164072,0.8224350186748763,0.8482828696714264,0.07021878069936367,3,-127.2031314956458,-136.59026121162609,-309.771656388473,-141.57585358402488,-93.55562028958637,-161.73930459387122,75.88725634134657,3
124,0.6217989921569824,0.07452446830739709,0.0076030254364013675,0.0004909337304701177,0.1,0.1,9,340,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 340}",0.9169268673788197,0.7379181533991417,0.833025592497094,0.9311087164072,0.8224350186748763,0.8482828696714264,0.07021878069936367,3,-127.2031314956458,-136.59026121162609,-309.771656388473,-141.57585358402488,-93.55562028958637,-161.73930459387122,75.88725634134657,3
51,0.2701986789703369,0.003764243986783908,0.009199285507202148,0.00039952001558632736,0.01,0.1,9,160,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 160}",0.9169198581478497,0.737639834123791,0.8330095879036827,0.9310855673059886,0.8227590918408142,0.8482827878644252,0.07027651187777975,5,-127.20849771511108,-136.66276836086604,-309.7865019288447,-141.59963800436051,-93.47020729829151,-161.74552266149476,75.90185446278923,5
123,0.330820369720459,0.10521686708181605,0.010400533676147461,0.002801537632937125,0.1,0.1,9,160,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 160}",0.9168957432213187,0.7378902791710835,0.8329595688394082,0.9310953452866999,0.8224084512112404,0.84824987754595,0.07022313038923828,6,-127.226958209626,-136.59752468086631,-309.83289402584916,-141.58959215771566,-93.56261897411373,-161.76191760963417,75.9065098625934,6
119,0.8136229038238525,0.006958831741398549,0.0072021961212158205,0.0003996877219634092,0.1,0.1,6,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9164534102111384,0.7379471713345848,0.8330580087451018,0.9311196272291274,0.8198457121689372,0.8476847859377779,0.07031613914872374,7,-127.56509971557507,-136.5826993046266,-309.74158554586575,-141.5646419327557,-94.23527974666032,-161.9378612490967,75.72188520642065,7
118,0.5722489356994629,0.004028339096950314,0.007203483581542968,0.000399399344535906,0.1,0.1,6,340,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 340}",0.9164534102111384,0.7379471713345848,0.8330580087451018,0.9311196272291274,0.8198457121689372,0.8476847859377779,0.07031613914872374,7,-127.56509971557507,-136.5826993046266,-309.74158554586575,-141.5646419327557,-94.23527974666032,-161.9378612490967,75.72188520642065,7
117,0.2950745105743408,0.021926659847138867,0.00940093994140625,0.0013563116480850253,0.1,0.1,6,160,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 160}",0.9164366191579829,0.7379221286777315,0.8329896249367693,0.9311059478404942,0.8198135017960789,0.8476535644818114,0.0703228229179984,9,-127.57791798119693,-136.58922530164787,-309.80501818015654,-141.57869834345038,-94.24370368669119,-161.95891269862858,75.74278501762271,9
47,0.8077964782714844,0.006793745903194573,0.0072024822235107425,0.00039966127393576274,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9161779984683671,0.7376403228165331,0.8332111573707403,0.9311228564074862,0.8198815562485479,0.847606778262335,0.07034982687849768,10,-127.77518620849757,-136.66264108138,-309.5994781526163,-141.56132355033705,-94.22590460233236,-161.96490671903265,75.64388531963831,10
